nimi,numero,setti,hinta_usd,harvinaisuus_arvio
Charizard,004/102,Base Set,944.53,Rare Holo
Blastoise,002/102,Base Set,229.70,Rare Holo
Venusaur,015/102,Base Set,177.74,Rare Holo
Mewtwo,010/102,Base Set,92.07,Rare Holo
Raichu,014/102,Base Set,69.17,Rare Holo
Alakazam,001/102,Base Set,68.20,Rare Holo
Chansey,003/102,Base Set,64.86,Rare Holo
Clefairy,005/102,Base Set,53.44,Rare Holo
Zapdos,016/102,Base Set,49.91,Rare Holo
Gyarados,006/102,Base Set,45.10,Rare Holo
Nidoking,011/102,Base Set,38.81,Rare Holo
Ninetales,012/102,Base Set,36.97,Rare Holo
Magneton,009/102,Base Set,36.67,Rare Holo
Poliwrath,013/102,Base Set,35.72,Rare Holo
Hitmonchan,007/102,Base Set,20.17,Rare Holo
Dragonair,018/102,Base Set,18.76,Rare
Pikachu,058/102,Base Set,13.94,Common
Dugtrio,019/102,Base Set,11.24,Rare
Pidgeotto,022/102,Base Set,10.04,Uncommon
Electabuzz,020/102,Base Set,10.03,Rare
"Item Finder",074/102,Base Set,9.36,Uncommon
"Clefairy Doll",070/102,Base Set,9.01,Rare
"Scoop Up",078/102,Base Set,8.20,Uncommon
Electrode,021/102,Base Set,7.88,Rare
"Pokemon Breeder",076/102,Base Set,7.03,Rare
"Devolution Spray",072/102,Base Set,6.44,Uncommon
"Double Colorless Energy",096/102,Base Set,6.42,Uncommon
"Imposter Professor Oak",073/102,Base Set,5.97,Uncommon
Ivysaur,030/102,Base Set,5.93,Uncommon
Beedrill,017/102,Base Set,5.86,Rare
"Pokemon Trader",077/102,Base Set,5.32,Uncommon
Squirtle,063/102,Base Set,5.11,Common
Wartortle,042/102,Base Set,4.57,Uncommon
Charmeleon,024/102,Base Set,4.35,Uncommon
Voltorb,067/102,Base Set,4.13,Common
Nidorino,037/102,Base Set,3.89,Uncommon
Arcanine,023/102,Base Set,3.84,Rare
Lass,075/102,Base Set,3.78,Uncommon
Dewgong,025/102,Base Set,3.70,Uncommon
Bulbasaur,044/102,Base Set,3.54,Common
"Super Energy Removal",079/102,Base Set,3.48,Uncommon
Magmar,036/102,Base Set,3.45,Rare
Porygon,039/102,Base Set,3.22,Rare
"Computer Search",071/102,Base Set,3.07,Rare
Magikarp,035/102,Base Set,3.00,Common
Maintenance,083/102,Base Set,2.96,Common
Kadabra,032/102,Base Set,2.72,Uncommon
Raticate,040/102,Base Set,2.70,Uncommon
Charmander,046/102,Base Set,2.64,Common
"Pokemon Flute",086/102,Base Set,2.60,Uncommon
Dratini,026/102,Base Set,2.53,Common
Revive,089/102,Base Set,2.48,Uncommon
Haunter,029/102,Base Set,2.45,Uncommon
Pidgey,057/102,Base Set,2.20,Common
"Pokemon Center",085/102,Base Set,2.02,Uncommon
Poliwhirl,038/102,Base Set,1.98,Uncommon
"Full Heal",082/102,Base Set,1.85,Uncommon
"Professor Oak",088/102,Base Set,1.82,Uncommon
Kakuna,033/102,Base Set,1.74,Common
Abra,043/102,Base Set,1.50,Common
Growlithe,028/102,Base Set,1.48,Common
"Farfetch'd",027/102,Base Set,1.33,Common
Seel,041/102,Base Set,1.31,Common
Defender,080/102,Base Set,1.27,Uncommon
Gastly,050/102,Base Set,1.25,Common
Doduo,048/102,Base Set,1.09,Common
Drowzee,049/102,Base Set,1.05,Common
Onix,056/102,Base Set,1.04,Common
Poliwag,059/102,Base Set,1.03,Common
Metapod,054/102,Base Set,1.01,Common
Jynx,031/102,Base Set,0.98,Common
Caterpie,045/102,Base Set,0.88,Common
Sandshrew,062/102,Base Set,0.87,Common
Machoke,034/102,Base Set,0.85,Uncommon
Diglett,047/102,Base Set,0.84,Common
Rattata,061/102,Base Set,0.82,Common
Vulpix,068/102,Base Set,0.82,Common
Tangela,066/102,Base Set,0.80,Common
"Nidoran M",055/102,Base Set,0.79,Common
Koffing,051/102,Base Set,0.78,Common
"Psychic Energy",101/102,Base Set,0.77,Energy
Starmie,064/102,Base Set,0.75,Common
Magnemite,053/102,Base Set,0.72,Common
Staryu,065/102,Base Set,0.71,Common
"Energy Retrieval",081/102,Base Set,0.66,Uncommon
PlusPower,084/102,Base Set,0.66,Common
Weedle,069/102,Base Set,0.66,Common
Machop,052/102,Base Set,0.58,Common
"Fire Energy",098/102,Base Set,0.56,Energy
Pokedex,087/102,Base Set,0.55,Uncommon
Ponyta,060/102,Base Set,0.54,Common
"Lightning Energy",100/102,Base Set,0.52,Energy
"Energy Removal",092/102,Base Set,0.48,Common
"Water Energy",102/102,Base Set,0.46,Energy
"Fighting Energy",097/102,Base Set,0.45,Energy
"Grass Energy",099/102,Base Set,0.45,Energy
Switch,095/102,Base Set,0.44,Common
"Gust of Wind",093/102,Base Set,0.40,Uncommon
Potion,094/102,Base Set,0.40,Common
Bill,091/102,Base Set,0.37,Common
"Super Potion",090/102,Base Set,0.37,Uncommon
