nimi,numero,setti,hinta_usd,harvinaisuus_arvio
Flareon,SM186,SM Promos,2.85,Promo
Gastly,#92,2000 Topps TV Animation Edition,3.55,Non-TCG keräilykortti
"Blissey Prime",106/123,HeartGold & SoulSilver,18.00,Ultra Rare (Prime)
"Ash's Pikachu",SM113,SM Promos,38.94,Promo
"Charizard Spirit Link",75/108,XY Evolutions,0.34,Uncommon
"Pokedex",82/108,XY Evolutions,0.12,Uncommon
"Double Colorless Energy",103/123,HeartGold & SoulSilver,4.92,Uncommon
"Metal Energy",80/90,HGSS Undaunted,0.64,Uncommon (Special)
"Rainbow Energy",131/146,XY Base Set,0.52,Uncommon
"Switch",88/108,XY Evolutions,0.22,Uncommon
"Blastoise Spirit Link",73/108,XY Evolutions,0.13,Uncommon
"Here Comes Team Rocket!",113/108,XY Evolutions,0.95,Secret Rare
"Counter Energy",100/111,SM Crimson Invasion,0.51,Uncommon
"Draw Energy",209/236,SM Cosmic Eclipse,0.24,Uncommon
Mewtwo,51/108,XY Evolutions,1.41,Rare
Drowzee,49/108,XY Evolutions,0.46,Common
Magmar,20/108,XY Evolutions,0.16,Uncommon
Voltorb,85/112,EX FireRed & LeafGreen,0.58,Common
"Ampharos Prime",105/123,HeartGold & SoulSilver,19.06,Ultra Rare
Electivire,30/111,XY Furious Fists,0.48,Rare
Quagsire,9/123,HeartGold & SoulSilver,8.58,Holo Rare
Phione,57/236,SM Unified Minds,0.25,Basic (arvio)
Starmie,73/160,XY Primal Clash,0.45,Rare
Qwilfish,50/123,HeartGold & SoulSilver,0.49,Uncommon
Parasect,48/123,HeartGold & SoulSilver,0.68,Uncommon
Oddish,58/64,Jungle,0.60,Common
Starmie,31/108,XY Evolutions,0.82,Rare
Staryu,56/64,Neo Revelation,0.49,Common
Azumarill,2/123,HeartGold & SoulSilver,7.36,Holo Rare
Jumpluff,6/123,HeartGold & SoulSilver,5.87,Holo Rare
Diglett,55/108,XY Evolutions,0.35,Common
Sharpedo,22/109,EX Ruby & Sapphire,1.90,Rare
Rattata,66/108,XY Evolutions,0.36,Common
Heracross,43/123,HeartGold & SoulSilver,1.96,Uncommon
Onix,61/108,XY Evolutions,0.35,Common (arvio)
"Team Aqua's Seviper",17/95,EX Team Magma vs Team Aqua,2.45,Rare
Gastly,47/108,XY Evolutions,0.05,"Common - kortissa tussimerkintöjä, arvo alempi"
Caterpie,3/108,XY Evolutions,0.29,Common
Weedle,5/108,XY Evolutions,0.10,Common
Magikarp,33/108,XY Evolutions,0.26,Common
Pikachu,35/108,XY Evolutions,0.35,Common
"Pikachu",60/64,Jungle,3.24,Common
Charmander,9/108,XY Evolutions,0.32,Common
Poliwhirl,24/108,XY Evolutions,0.14,Uncommon
Abra,46/144,Skyridge,23.59,Common (Skyridge-erikoisuus)
Doduo,69/108,XY Evolutions,0.11,Common
Electabuzz,41/108,XY Evolutions,0.15,Common
Charmeleon,10/108,XY Evolutions,0.40,Uncommon (arvio)
Geodude,110/165,Expedition,5.00,Common (e-kortti)
Sandshrew,54/108,XY Evolutions,0.17,Common
Porygon,71/108,XY Evolutions,0.16,Uncommon
"Pidgeot Spirit Link",81/108,XY Evolutions,0.16,Uncommon
Tangela,8/108,XY Evolutions,0.14,Common
Revive,85/108,XY Evolutions,0.15,Uncommon (arvio)
Tangela,8/108,XY Evolutions,0.14,Common
Sandshrew,54/108,XY Evolutions,0.17,Common
