nimi,numero,setti,hinta_usd,harvinaisuus_arvio
"Gardevoir & Sylveon GX (Alt Full Art)",205/214,SM Unbroken Bonds,640.88,Secret Rare
"Greninja & Zoroark GX (Alt Full Art)",201/214,SM Unbroken Bonds,355.19,Secret Rare
"Marshadow & Machamp GX (Full Art)",199/214,SM Unbroken Bonds,234.63,Ultra Rare
"Reshiram & Charizard GX (Secret)",217/214,SM Unbroken Bonds,229.24,Secret Rare
"Gardevoir & Sylveon GX (Secret)",225/214,SM Unbroken Bonds,177.27,Secret Rare
"Red's Challenge (Full Art)",213/214,SM Unbroken Bonds,151.98,Ultra Rare
"Blastoise GX (Secret)",218/214,SM Unbroken Bonds,131.90,Secret Rare
"Gardevoir & Sylveon GX (204 Full Art)",204/214,SM Unbroken Bonds,115.15,Ultra Rare
"Greninja & Zoroark GX (Secret)",222/214,SM Unbroken Bonds,114.13,Secret Rare
"Green's Exploration (Full Art)",209/214,SM Unbroken Bonds,110.33,Ultra Rare
"Muk & Alolan Muk GX (197 Full Art)",197/214,SM Unbroken Bonds,107.13,Ultra Rare
"Reshiram & Charizard GX (Full Art)",194/214,SM Unbroken Bonds,96.35,Ultra Rare
"Pheromosa & Buzzwole GX (Alt Full Art)",192/214,SM Unbroken Bonds,91.42,Secret Rare
"Lucario & Melmetal GX (Secret)",224/214,SM Unbroken Bonds,81.81,Secret Rare
"Snorlax",158/214,SM Unbroken Bonds,81.55,Rare Holo
"Gardevoir & Sylveon GX",130/214,SM Unbroken Bonds,81.29,Rare Holo GX
"Marshadow & Machamp GX (Secret)",221/214,SM Unbroken Bonds,72.00,Secret Rare
"Greninja & Zoroark GX (200 Full Art)",200/214,SM Unbroken Bonds,70.44,Ultra Rare
"Reshiram & Charizard GX",20/214,SM Unbroken Bonds,59.62,Rare Holo GX
"Greninja & Zoroark GX",107/214,SM Unbroken Bonds,55.02,Rare Holo GX
"Welder (Full Art)",214/214,SM Unbroken Bonds,51.80,Ultra Rare
"Dedenne GX (Secret)",219/214,SM Unbroken Bonds,48.17,Secret Rare
"Pokegear 3.0 (Secret)",233/214,SM Unbroken Bonds,47.18,Secret Rare
"Lucario & Melmetal GX (Full Art)",203/214,SM Unbroken Bonds,45.75,Ultra Rare
"Marshadow & Machamp GX (198 Full Art)",198/214,SM Unbroken Bonds,42.75,Ultra Rare
"Pheromosa & Buzzwole GX (Secret)",215/214,SM Unbroken Bonds,40.41,Secret Rare
"Muk & Alolan Muk GX (Secret)",220/214,SM Unbroken Bonds,38.76,Secret Rare
"Koga's Trap (Full Art)",211/214,SM Unbroken Bonds,36.63,Ultra Rare
"Greninja",117/214,SM Unbroken Bonds,33.89,Rare Holo
"Marshadow & Machamp GX",82/214,SM Unbroken Bonds,32.48,Rare Holo GX
"Muk & Alolan Muk GX (196 Full Art)",196/214,SM Unbroken Bonds,31.31,Ultra Rare
"Lucario & Melmetal GX",120/214,SM Unbroken Bonds,31.22,Rare Holo GX
"Dedenne GX (Full Art)",195/214,SM Unbroken Bonds,30.88,Ultra Rare
Mew,76/214,SM Unbroken Bonds,24.16,Rare Holo
"Pheromosa & Buzzwole GX (191 Full Art)",191/214,SM Unbroken Bonds,24.14,Ultra Rare
Gengar,70/214,SM Unbroken Bonds,24.06,Rare Holo
"Whimsicott GX (Secret)",226/214,SM Unbroken Bonds,23.59,Secret Rare
"Janine (Full Art)",210/214,SM Unbroken Bonds,21.42,Ultra Rare
"Muk & Alolan Muk GX",61/214,SM Unbroken Bonds,20.41,Rare Holo GX
"Venomoth GX (Secret)",216/214,SM Unbroken Bonds,20.11,Secret Rare
"Persian GX (Secret)",227/214,SM Unbroken Bonds,20.04,Secret Rare
"Blastoise GX",35/214,SM Unbroken Bonds,19.72,Rare Holo GX
"Dedenne GX",57/214,SM Unbroken Bonds,17.08,Rare Holo GX
"Pheromosa & Buzzwole GX",1/214,SM Unbroken Bonds,14.01,Rare Holo GX
"Honchkrow GX (Secret)",223/214,SM Unbroken Bonds,12.25,Secret Rare
"Whimsicott GX (Full Art)",206/214,SM Unbroken Bonds,12.15,Ultra Rare
"Celesteela GX (Secret)",228/214,SM Unbroken Bonds,9.88,Secret Rare
"Fire Crystal (Secret)",231/214,SM Unbroken Bonds,8.42,Secret Rare
Stakataka,106/214,SM Unbroken Bonds,7.46,Rare Holo
"Persian GX (Full Art)",207/214,SM Unbroken Bonds,7.29,Ultra Rare
"Celesteela GX (Full Art)",208/214,SM Unbroken Bonds,7.28,Ultra Rare
"Venomoth GX (Full Art)",193/214,SM Unbroken Bonds,7.21,Ultra Rare
Cleffa,131/214,SM Unbroken Bonds,7.18,Common
"Celesteela GX",163/214,SM Unbroken Bonds,7.17,Rare Holo GX
"Venomoth GX",12/214,SM Unbroken Bonds,6.93,Rare Holo GX
"Triple Acceleration Energy (Secret)",234/214,SM Unbroken Bonds,6.87,Secret Rare
"Molayne (Full Art)",212/214,SM Unbroken Bonds,6.64,Ultra Rare
Blacephalon,32/214,SM Unbroken Bonds,6.50,Rare Holo
Arcanine,22/214,SM Unbroken Bonds,5.56,Rare Holo
Wigglytuff,135/214,SM Unbroken Bonds,5.45,Uncommon
"Honchkrow GX (Full Art)",202/214,SM Unbroken Bonds,5.03,Ultra Rare
Pyukumuku,53/214,SM Unbroken Bonds,4.22,Common
"Whimsicott GX",140/214,SM Unbroken Bonds,3.62,Rare Holo GX
"Electromagnetic Radar (Secret)",230/214,SM Unbroken Bonds,3.55,Secret Rare
Mewtwo,75/214,SM Unbroken Bonds,3.51,Rare Holo
Spiritomb,112/214,SM Unbroken Bonds,3.48,Uncommon
"Metal Core Barrier (Secret)",232/214,SM Unbroken Bonds,3.28,Secret Rare
Meowth,147/214,SM Unbroken Bonds,3.20,Common
Lucario,126/214,SM Unbroken Bonds,3.13,Uncommon
Slowbro,43/214,SM Unbroken Bonds,3.02,Uncommon
"Beast Bringer (Secret)",229/214,SM Unbroken Bonds,2.91,Secret Rare
Sharpedo,111/214,SM Unbroken Bonds,2.85,Uncommon
"Persian GX",149/214,SM Unbroken Bonds,2.79,Rare Holo GX
"Surprise Box",187/214,SM Unbroken Bonds,2.32,Uncommon
"Honchkrow GX",109/214,SM Unbroken Bonds,2.18,Rare Holo GX
