nimi,numero,kategoria,arvo_eur,kunto
Pokémon Center Lady,105/106,Kiilto,99.95,NM
Garchomp C LV.X,145/147,Kiilto,86.95,NM
Lillie,147/149,Kiilto,65.95,NM
Ampharos,105/123,Vanhat,54.95,NM
Magmortar LV.X,123/123,Tähti,53.95,NM/M
Espeon EX,52/122,Kiilto,41.95,NM
Articuno GX,154/168,Kiilto,37.95,NM
Ash's Pikachu,SM113,Erikois,35.82,NM
Charizard EX,12/108,Kiilto,32.95,NM
Raichu,10/123,Tähti,31.95,NM/M
Eevee,155/214,Kiilto,26.95,NM
Double Colorless Energy,166/145,Kiilto,24.95,NM
Faba,208/214,Kiilto,24,NM
Abra,46/144,Vanhat,23,NM
Quagsire,9/123,Vanhat,16,NM
Spidops ex,243/198,Kiilto,15.5,NM
Xerneas,091/086,Kiilto,15.5,NM
Azumarill,2/123,Vanhat,13.5,NM
Voltorb,85/112,Vanhat,13,NM
Lapras,24/123,Tähti,13,NM/M
Blastoise EX,21/108,Kiilto,12.5,NM
Heracross,43/123,Vanhat,12,NM
Life Dew,107/116,Kiilto,9.5,NM
Double Colorless Energy,103/123,Trainer,9.5,NM
Sunflora,31/123,Tähti,9,NM/M
Muscle Band,121/146,Kiilto,8.95,NM
Gold Potion,140/149,Kiilto,8,NM
Jumpluff,6/123,Vanhat,8,NM
Surfing Pikachu VMAX,009/025,Kiilto,7.36,NM
Tapu Koko (Prism Star),51/181,Kiilto,6.5,NM
Tyranitar,85/181,Kiilto,6,NM
Persian,27/123,Tähti,6,NM/M
Magcargo,45/106,Kiilto,5,NM
Rayquaza,106/145,Tähti,5,NM/M
Espurr,095/088,Kiilto,4.47,NM
Mewtwo,51/108,Vanhat,4.25,NM
Black Market (Prism Star),134/181,Kiilto,4,NM
Quilava,49/123,Tähti,4,NM/M
Krookodile,71/146,Tähti,3.75,NM/M
Kartana,101/168,Tähti,3.75,NM/M
Gyarados,31/113,Tähti,3.75,NM/M
Mew,011/025,Kiilto,3.32,NM
Genesect,10/101,Kiilto,3,NM
Turtonator GX,18/145,Kiilto,3,NM
Here Comes Team Rocket!,113/108,Trainer,3,NM
Sharpedo,22/109,Vanhat,3,NM
Rayquaza,153/217,Bulk,3.0,NM
Pikachu,60/64,Vanhat,2.98,NM
Mewtwo EX,XY107,Kiilto,2.76,NM
Heat Factory (Prism Star),178/214,Kiilto,2.75,NM
Crobat,66/214,Kiilto,2.75,NM
Flareon,SM186,Erikois,2.62,NM
Flareon,SM186,Erikois,2.62,NM
Geodude,110/165,Vanhat,2.5,NM
Team Aqua's Seviper,17/95,Vanhat,2.25,NM
Alolan Sandslash,20/145,Kiilto,2,NM
Shiinotic,17/149,Kiilto,2,NM
Mudsdale,76/145,Kiilto,1.75,NM
Lunala,015/025,Kiilto,1.75,NM
Ampharos,049/198,Kiilto,1.75,NM
Victreebel,3/145,Tähti,1.75,NM/M
Malamar,76/146,Kiilto,1.7,NM
Yveltal,019/025,Kiilto,1.5,NM
Max Potion,103/122,Kiilto,1.5,NM
Cassius,115/146,Kiilto,1.5,NM
Caitlin,78/101,Kiilto,1.5,NM
Stoutland,110/146,Kiilto,1.5,NM
Stoutland,176/236,Kiilto,1.5,NM
Charizard Spirit Link,75/108,Trainer,1.5,NM
Rainbow Energy,131/146,Trainer,1.5,NM
Counter Energy,100/111,Trainer,1.5,NM
Draw Energy,209/236,Trainer,1.5,NM
Draw Energy,209/236,Trainer,1.5,NM
Phione,57/236,Vanhat,1.5,NM
Qwilfish,50/123,Vanhat,1.5,NM
Starmie,31/108,Vanhat,1.5,NM
Revive,85/108,Vanhat,1.5,NM
Electabuzz,41/108,Vanhat,1.5,NM
Hoopa,141/217,Bulk,1.5,NM
Mightyena,87/181,Tähti,1.5,NM/M
Honchkrow,79/145,Tähti,1.5,NM/M
Alolan Muk,84/181,Tähti,1.5,NM/M
Pinsir,9/181,Tähti,1.5,NM/M
Raticate,88/122,Tähti,1.5,NM/M
Empoleon,56/236,Tähti,1.5,NM/M
Zygarde,53/124,Tähti,1.5,NM/M
Galarian Articuno V,058/198,Kiilto,1.38,NM
Delphox,13/124,Kiilto,1.25,NM
Krookodile,85/149,Kiilto,1.25,NM
Pokédex,82/108,Trainer,1.25,NM
Professor's Research (Professor Oak),024/025,Kiilto,1.1,NM
Professor Oak's Hint,84/108,Kiilto,1,NM
Welder,189/214,Kiilto,1,NM
Electrode,40/108,Kiilto,1,NM
Switch,88/108,Trainer,1,NM
Ampharos,029/086,Bulk,1.0,NM
Trevenant,039/086,Bulk,1.0,NM
Trevenant,039/086,Bulk,1.0,NM
Vileplume,003/094,Bulk,1.0,NM
Yveltal,088/132,Bulk,1.0,NM
Piplup,20/25,Pienet sarjat,0.98,NM
Piplup,20/25,Pienet sarjat,0.98,NM
Piplup,20/25,Pienet sarjat,0.98,NM
Mudkip,19/25,Pienet sarjat,0.84,NM
Frogadier,40/146,Kiilto,0.75,NM
Frozen City,100/116,Kiilto,0.75,NM
Reshiram,2/25,Kiilto,0.75,NM
Blastoise Spirit Link,73/108,Trainer,0.75,NM
Galarian Zigzagoon,130/217,Bulk,0.75,NM
Swellow,104/145,Tähti,0.75,NM/M
Lapras,5/12,Kiilto,0.64,NM
Parasect,48/123,Vanhat,0.63,NM
Totodile,18/25,Pienet sarjat,0.62,NM
Metal Energy,80/90,Trainer,0.59,NM
Sobble,24/25,Pienet sarjat,0.57,NM
Sobble,24/25,Pienet sarjat,0.57,NM
Sobble,24/25,Pienet sarjat,0.57,NM
Alolan Sandshrew,4/12,Kiilto,0.55,NM
Oddish,58/64,Vanhat,0.55,NM
Pokémon Fan Club,94/106,Kiilto,0.5,NM
Brock's Grit,74/108,Kiilto,0.5,NM
Repel,130/149,Kiilto,0.5,NM
Doctor,134/198,Kiilto,0.5,NM
Wishful Baton,128/147,Kiilto,0.5,NM
Tormenting Spray,125/147,Kiilto,0.5,NM
Revavroom,142/198,Kiilto,0.5,NM
Rattata,66/108,Vanhat,0.5,NM
Pidgeot Spirit Link,81/108,Vanhat,0.5,NM
Pidgeot Spirit Link,81/108,Vanhat,0.5,NM
Eevee,12/12,Kiilto,0.46,NM
Chikorita,2/25,Pienet sarjat,0.46,NM
Watchog,071/086,Bulk,0.46,oletus
Staryu,56/64,Vanhat,0.45,NM
Snivy,5/25,Pienet sarjat,0.45,NM
Electivire,30/111,Vanhat,0.44,NM
Scorbunny,16/25,Pienet sarjat,0.43,NM
Drowzee,49/108,Vanhat,0.42,NM
Starmie,73/160,Vanhat,0.41,NM
Turtwig,4/25,Pienet sarjat,0.4,NM
Treecko,3/25,Pienet sarjat,0.39,NM
Rowlet,7/25,Pienet sarjat,0.38,NM
Charmeleon,10/108,Vanhat,0.37,NM
Chimchar,12/25,Pienet sarjat,0.37,NM
Cosmog,013/025,Kiilto,0.35,NM
Cosmog,013/025,Kiilto,0.35,NM
Diglett,55/108,Vanhat,0.32,NM
Onix,61/108,Vanhat,0.32,NM
Diglett,55/108,Vanhat,0.32,NM
Pikachu,35/108,Vanhat,0.32,NM
Snorlax,80/106,Tähti,0.32,oletus
Carbink,117/217,Bulk,0.31,NM
Aerodactyl,13/99,Kiilto,0.3,NM
Clamperl,49/160,Kiilto,0.3,NM
Corphish,42/160,Kiilto,0.3,NM
Solgaleo GX,SM16,Kiilto,0.3,NM
Life Forest (Prism Star),180/214,Kiilto,0.3,NM
Magnemite,80/156,Kiilto,0.3,NM
Weepinbell,2/111,Kiilto,0.3,NM
Clefairy,144/236,Kiilto,0.3,NM
Jangmo-o,98/145,Kiilto,0.3,NM
Delibird,57/214,Kiilto,0.3,NM
Loudred,136/185,Kiilto,0.3,NM
Kakuna,4/146,Kiilto,0.3,NM
Bidoof,106/146,Kiilto,0.3,NM
Whismur,116/168,Kiilto,0.3,NM
Durant,128/214,Kiilto,0.3,NM
Taillow,103/145,Kiilto,0.3,NM
Seedot,5/106,Kiilto,0.3,NM
Metapod,2/106,Kiilto,0.3,NM
Cherrim,11/156,Kiilto,0.3,NM
Sharpedo,28/145,Kiilto,0.3,NM
Growlithe,1/12,Kiilto,0.3,NM
Dratini,9/12,Kiilto,0.3,NM
Arctozolt,066/189,Kiilto,0.3,NM
Mankey,8/12,Kiilto,0.3,NM
Pikachu,25/25,Kiilto,0.3,NM
Masquerain,8/149,Kiilto,0.3,NM
Skuntank,55/106,Kiilto,0.3,NM
Moltres ex,013/094,Bulk,0.3,oletus
Zekrom,010/025,Kiilto,0.29,NM
Charmander,9/108,Vanhat,0.29,NM
Team Aqua's Poochyena,55/95,Kiilto,0.28,NM
Slugma,67/90,Pienet sarjat,0.28,NM
"Fasasnob (Pidgeot, saksa)",86/114,Tähti,0.28,oletus
Caterpie,3/108,Vanhat,0.27,NM
Caterpie,3/108,Vanhat,0.27,NM
Wishiwashi,31/70,Pienet sarjat,0.27,NM
Meditite,103/217,Bulk,0.25,NM
Magikarp,33/108,Vanhat,0.24,NM
Magikarp,33/108,Vanhat,0.24,NM
Salazzle,035/217,Bulk,0.24,NM
Growlithe,10/99,Pienet sarjat,0.23,NM
Yanmega,4/119,Tähti,0.23,oletus
Raticate,34/90,Tähti,0.23,oletus
Golem,47/106,Tähti,0.23,oletus
Drapion,53/156,Tähti,0.23,oletus
Bagon,42/70,Pienet sarjat,0.2,NM
Froakie,020/086,Bulk,0.2,NM
Tangela,006/132,Bulk,0.2,NM
Ninetales,020/133,Bulk,0.2,oletus
Beedrill,5/146,Kiilto,0.18,NM
Magcargo,21/146,Kiilto,0.18,NM
Gastly,92,Erikois,0.18,NM
Gastly,92,Erikois,0.18,NM
Kangaskhan,55/70,Pienet sarjat,0.18,NM
Furret,82/106,Tähti,0.18,oletus
Golurk,72/101,Tähti,0.18,oletus
Sandshrew,54/108,Vanhat,0.16,NM
Slugma,20/146,Kiilto,0.15,NM
Kabuto,77/181,Kiilto,0.15,NM
Litleo,50/214,Kiilto,0.15,NM
Skiddo,011/198,Kiilto,0.15,NM
Gothita,073/189,Kiilto,0.15,NM
Omanyte,56/108,Kiilto,0.15,NM
Dodrio,99/146,Kiilto,0.15,NM
