kortti,kunto,harvinaisuus,setti,hinta_eur,varastossa_kpl,myynnissa_kpl
Aaron's Collection 88/111 - Platinum Rising Rivals,NM/M,Uncommon,Platinum Rising Rivals,1,3,3
Aaron's Collection 88/111 Reverse Holo - Platinum Rising Rivals,EX,Uncommon,Platinum Rising Rivals,3,1,1
Aaron's Collection 88/111 Reverse Holo - Platinum Rising Rivals,LP,Uncommon,Platinum Rising Rivals,1.8,1,1
Aaron's Collection 88/111 Reverse Holo - Platinum Rising Rivals,NM/M,Uncommon,Platinum Rising Rivals,4,0,0
Abomasnow 004/131 Reverse Holo - Sun & Moon Forbidden Light,NM/M,Rare,Sun & Moon Forbidden Light,1.5,0,0
Abomasnow 010/198 - Sword & Shield Chilling Reign,NM/M,Promo,Sword & Shield Chilling Reign,0.75,5,5
Abomasnow 010/198 Reverse Holo - Sword & Shield Chilling Reign,NM/M,Rare,Sword & Shield Chilling Reign,1.5,0,0
Abomasnow 011/193 - Scarlet & Violet Paldea Evolved,NM/M,Rare,Scarlet & Violet Paldea Evolved,1,8,8
Abomasnow 011/193 Reverse Holo - Scarlet & Violet Paldea Evolved,NM/M,Rare,Scarlet & Violet Paldea Evolved,1,3,3
Abomasnow 013/192 Reverse Holo - Sword & Shield Rebel Clash,NM/M,Rare,Sword & Shield Rebel Clash,1.5,0,0
Abomasnow 026/101 - Black & White 10: Plasma Blast,NM/M,Uncommon,Black & White 10: Plasma Blast,1.5,0,0
Abomasnow 038/156 Reverse Holo - Sun & Moon Ultra Prism,NM/M,Rare,Sun & Moon Ultra Prism,1.5,0,0
Abomasnow 040/162 - X&Y BREAKthrough,NM/M,Rare,X&Y BREAKthrough,1.5,2,2
Abomasnow 040/162 Reverse Holo - X&Y BREAKthrough,NM/M,Rare,X&Y BREAKthrough,3,1,1
Abomasnow 10/198 - Sword & Shield Chilling Reign,NM/M,Rare,Sword & Shield Chilling Reign,0.5,12,12
Abomasnow 101/091 - Scarlet & Violet Paldean Fates,NM/M,Shiny Rare,Scarlet & Violet Paldean Fates,4.5,2,2
Abomasnow 13/192 - Sword & Shield Rebel Clash,NM/M,Rare,Sword & Shield Rebel Clash,0.5,1,1
Abomasnow 38/156 - Sun & Moon Ultra Prism,NM/M,Rare,Sun & Moon Ultra Prism,0.7,3,3
Abomasnow 4/131 - Sun & Moon Forbidden Light,NM/M,Rare,Sun & Moon Forbidden Light,0.75,0,0
Abomasnow 42/236 Reverse Holo - Sun & Moon Unified Minds,NM/M,Rare,Sun & Moon Unified Minds,1.5,1,1
Abomasnow 42/263 - Sun & Moon Unified Minds,NM/M,Rare,Sun & Moon Unified Minds,0.75,1,1
Abomasnow Lv.40 19/123 - Diamond & Pearl Mysterious Treasures,EX,Rare,Diamond & Pearl Mysterious Treasures,1.5,1,1
Abomasnow Lv.40 19/123 - Diamond & Pearl Mysterious Treasures,NM/M,Rare,Diamond & Pearl Mysterious Treasures,2,0,0
Abomasnow Lv.40 19/123 Reverse Holo - Diamond & Pearl Mysterious Treasures,DMG,Rare,Diamond & Pearl Mysterious Treasures,4.25,1,1
Abomasnow Lv.40 19/123 Reverse Holo - Diamond & Pearl Mysterious Treasures,EX,Rare,Diamond & Pearl Mysterious Treasures,9.7,2,2
Abomasnow Lv.40 19/123 Reverse Holo - Diamond & Pearl Mysterious Treasures,NM/M,Rare,Diamond & Pearl Mysterious Treasures,17,0,0
Abomasnow Lv.42 12/100 - Diamond & Pearl Stormfront,EX,Rare,Diamond & Pearl Stormfront,2.45,1,1
Abomasnow Lv.42 12/100 - Diamond & Pearl Stormfront,GD,Rare,Diamond & Pearl Stormfront,1.8,1,1
Abomasnow Lv.42 12/100 - Diamond & Pearl Stormfront,NM/M,Rare,Diamond & Pearl Stormfront,3.25,0,0
Abomasnow Lv.42 12/100 Reverse Holo - Diamond & Pearl Stormfront,EX,Rare,Diamond & Pearl Stormfront,4.5,1,1
Abomasnow Lv.42 12/100 Reverse Holo - Diamond & Pearl Stormfront,LP,Rare,Diamond & Pearl Stormfront,2.7,1,1
Abomasnow Lv.42 12/100 Reverse Holo - Diamond & Pearl Stormfront,NM/M,Rare,Diamond & Pearl Stormfront,6,0,0
Abomasnow Lv.42 12/100 Reverse Holo - Diamond & Pearl Stormfront,PL,Rare,Diamond & Pearl Stormfront,2.1,1,1
Abomasnow TG01/TG30 - Sword & Shield Astral Radiance,EX,Holo Rare,Sword & Shield Astral Radiance,2.8,2,2
Abomasnow TG01/TG30 - Sword & Shield Astral Radiance,GD,Holo Rare,Sword & Shield Astral Radiance,2.45,3,3
Abomasnow TG01/TG30 - Sword & Shield Astral Radiance,NM/M,Holo Rare,Sword & Shield Astral Radiance,3.5,7,7
Abra 043/102 - Base Set,LP,Common,Base Set,1.3,1,1
Abra 043/102 - Base Set,NM/M,Common,Base Set,3.75,0,0
Abra 063/165 - Scarlet & Violet 151,EX,Promo,Scarlet & Violet 151,1.4,1,1
Abra 063/165 - Scarlet & Violet 151,NM/M,Promo,Scarlet & Violet 151,1.75,0,0
Abra 063/165 Reverse Holo - Scarlet & Violet 151,NM/M,Common,Scarlet & Violet 151,1.5,0,0
Abra 148/091 - Scarlet & Violet Paldean Fates,NM/M,Shiny Rare,Scarlet & Violet Paldean Fates,16,1,1
Abra 46/144 - Skyridge,NM/M,Common,Skyridge,23,0,0
Abra 46/144 - Skyridge,PL,Common,Skyridge,8.05,1,1
Abra 46/144 Reverse Holo - Skyridge,NM/M,Common,Skyridge,117.95,0,0
Abra 49/082 - Team Rocket,EX,Common,Team Rocket,1.5,4,4
Abra 49/082 - Team Rocket,GD,Common,Team Rocket,1.1,3,3
Abra 49/082 - Team Rocket,NM/M,Common,Team Rocket,2,0,0
Abra 49/082 1st Edition - Team Rocket,NM/M,Common,Team Rocket,8,0,0
Abra 65/130 - Base Set 2,LP,Common,Base Set 2,1.25,3,3
Abra 65/130 - Base Set 2,NM/M,Common,Base Set 2,3,0,0
Abra 67/110 - Legendary Collection,EX,Common,Legendary Collection,2.05,3,3
Abra 67/110 - Legendary Collection,GD,Common,Legendary Collection,1.5,3,3
Abra 67/110 - Legendary Collection,NM/M,Common,Legendary Collection,2.75,0,0
Abra 67/110 Reverse Holo - Legendary Collection,NM/M,Common,Legendary Collection,101.95,0,0
Abra 93/165 - Expedition Base Set,DMG,Common,Expedition Base Set,1.6,1,1
Abra 93/165 - Expedition Base Set,GD,Common,Expedition Base Set,3.6,1,1
Abra 93/165 - Expedition Base Set,LP,Common,Expedition Base Set,2.75,3,3
Abra 93/165 - Expedition Base Set,NM/M,Common,Expedition Base Set,6.5,0,0
Abra 93/165 Reverse Holo - Expedition Base Set,NM/M,Common,Expedition Base Set,39.95,0,0
Abra 93/165 Reverse Holo - Expedition Base Set,PL,Common,Expedition Base Set,14,1,1
Abra Lv.8 69/123 Reverse Holo - Diamond & Pearl Mysterious Treasures,DMG,Common,Diamond & Pearl Mysterious Treasures,4.1,1,1
Abra Lv.8 69/123 Reverse Holo - Diamond & Pearl Mysterious Treasures,EX,Common,Diamond & Pearl Mysterious Treasures,12.4,1,1
Abra Lv.8 69/123 Reverse Holo - Diamond & Pearl Mysterious Treasures,GD,Common,Diamond & Pearl Mysterious Treasures,9.1,1,1
Abra Lv.8 69/123 Reverse Holo - Diamond & Pearl Mysterious Treasures,NM/M,Common,Diamond & Pearl Mysterious Treasures,16.5,0,0
Absol 030/64 Reverse Holo - Scarlet & Violet Shrouded Fable,NM/M,Common,Scarlet & Violet Shrouded Fable,1,0,0
Absol 040/108 - X&Y Roaring Skies,NM/M,Holo Rare,X&Y Roaring Skies,4.5,0,0
Absol 040/108 - X&Y Roaring Skies,PL,Holo Rare,X&Y Roaring Skies,2.25,1,1
Absol 076/159 - Crown Zenith,NM/M,Holo Rare,Crown Zenith,1.5,0,0
Absol 076/159 Reverse Holo - Crown Zenith,NM/M,Holo Rare,Crown Zenith,1.5,0,0
Absol 088/181 Reverse Holo - Sun & Moon Team Up,NM/M,Holo Rare,Sun & Moon Team Up,8,0,0
Absol 097/189 - Sword & Shield Astral Radiance,NM/M,Holo Rare,Sword & Shield Astral Radiance,1,0,0
Absol 1/097 - EX Dragon,NM/M,Holo Rare,EX Dragon,99.95,0,0
Absol 1/097 Reverse Holo - EX Dragon,NM/M,Holo Rare,EX Dragon,99.95,0,0
Absol 113/182 Reverse Holo - Scarlet & Violet Paradox Rift,NM/M,Uncommon,Scarlet & Violet Paradox Rift,1.5,0,0
Absol 15/092 - EX Legend Maker,NM/M,Rare,EX Legend Maker,19,0,0
Absol 15/092 Reverse Holo - EX Legend Maker,NM/M,Rare,EX Legend Maker,80.95,0,0
Absol 164/264 - Sword & Shield Fusion Strike,NM/M,Rare,Sword & Shield Fusion Strike,1.5,0,0
Absol 164/264 Reverse Holo - Sword & Shield Fusion Strike,NM/M,Rare,Sword & Shield Fusion Strike,1.75,0,0
Absol 18/110 - Ex Holon Phantoms,DMG,Rare,Ex Holon Phantoms,3.25,1,1
Absol 18/110 - Ex Holon Phantoms,GD,Rare,Ex Holon Phantoms,7.15,1,1
Absol 18/110 - Ex Holon Phantoms,NM/M,Rare,Ex Holon Phantoms,13,0,0
Absol 18/110 Reverse Holo - Ex Holon Phantoms,DMG,Rare,Ex Holon Phantoms,16.5,1,1
Absol 18/110 Reverse Holo - Ex Holon Phantoms,NM/M,Rare,Ex Holon Phantoms,65.95,0,0
Absol 40/108 Reverse Holo - X&Y Roaring Skies,NM/M,Holo Rare,X&Y Roaring Skies,5,0,0
Absol 67/116 - Black & White 9: Plasma Freeze,DMG,Holo Rare,Black & White 9: Plasma Freeze,9.3,1,1
Absol 67/116 - Black & White 9: Plasma Freeze,GD,Holo Rare,Black & White 9: Plasma Freeze,21.65,1,1
Absol 67/116 - Black & White 9: Plasma Freeze,NM/M,Holo Rare,Black & White 9: Plasma Freeze,30.95,0,0
Absol 67/116 Reverse Holo - Black & White 9: Plasma Freeze,GD,Holo Rare,Black & White 9: Plasma Freeze,23.75,2,2
Absol 67/116 Reverse Holo - Black & White 9: Plasma Freeze,NM/M,Holo Rare,Black & White 9: Plasma Freeze,33.95,0,0
Absol 81/145 - Sun & Moon Guardians Rising,NM/M,Holo Rare,Sun & Moon Guardians Rising,1.5,0,0
Absol 81/145 Reverse Holo - Sun & Moon Guardians Rising,NM/M,Holo Rare,Sun & Moon Guardians Rising,2.75,0,0
Absol 88/181 - Sun & Moon Team Up,NM/M,Holo Rare,Sun & Moon Team Up,2.75,0,0
Absol 91/102 - Triumphant,NM/M,Ultra Rare,Triumphant,199.95,0,0
Absol 96/095 - EX Team Magma vs Team Aqua,NM/M,Secret Rare,EX Team Magma vs Team Aqua,176.95,0,0
Absol [G] Lv.59 1/147 - Platinum Supreme Victors,GD,Holo Rare,Platinum Supreme Victors,8.25,1,1
Absol [G] Lv.59 1/147 - Platinum Supreme Victors,LP,Holo Rare,Platinum Supreme Victors,6.75,2,2
Absol [G] Lv.59 1/147 - Platinum Supreme Victors,NM/M,Holo Rare,Platinum Supreme Victors,15,0,0
Absol [G] Lv.59 1/147 - Platinum Supreme Victors,PL,Holo Rare,Platinum Supreme Victors,5.25,1,1
Absol [G] LV.X 141/147 - Platinum Supreme Victors,NM/M,Ultra Rare,Platinum Supreme Victors,130.95,0,0
Absol ex 135/197 - Scarlet & Violet Obsidian Flames,EX,Double Rare,Scarlet & Violet Obsidian Flames,3.6,1,1
Absol ex 135/197 - Scarlet & Violet Obsidian Flames,GD,Double Rare,Scarlet & Violet Obsidian Flames,3.15,2,2
Absol ex 135/197 - Scarlet & Violet Obsidian Flames,LP,Double Rare,Scarlet & Violet Obsidian Flames,2.7,1,1
Absol ex 135/197 - Scarlet & Violet Obsidian Flames,NM/M,Double Rare,Scarlet & Violet Obsidian Flames,4.5,2,2
Absol ex 214/197 - Scarlet & Violet Obsidian Flames,EX,Ultra Rare,Scarlet & Violet Obsidian Flames,4.8,1,1
Absol ex 214/197 - Scarlet & Violet Obsidian Flames,GD,Ultra Rare,Scarlet & Violet Obsidian Flames,4.2,1,1
Absol ex 214/197 - Scarlet & Violet Obsidian Flames,NM/M,Ultra Rare,Scarlet & Violet Obsidian Flames,6,0,0
