nimi,numero,kategoria,oma_arvo_eur,markkinahinta_eur,markkinahinta_varastossa
Pokémon Center Lady,105/106,Kiilto,99.95,99.95,0
Garchomp C LV.X,145/147,Kiilto,86.95,86.95,0
Lillie,147/149,Kiilto,65.95,65.95,0
Ampharos,105/123,Vanhat,54.95,54.95,0
Magmortar LV.X,123/123,Tähti,53.95,53.95,0
Espeon EX,52/122,Kiilto,41.95,41.95,0
Articuno GX,154/168,Kiilto,37.95,37.95,0
Ash's Pikachu,SM113,Erikois,35.82,,
Charizard EX,12/108,Kiilto,32.95,32.95,1
Raichu,10/123,Tähti,31.95,31.95,0
Eevee,155/214,Kiilto,26.95,26.95,0
Double Colorless Energy,166/145,Kiilto,24.95,24.95,0
Faba,208/214,Kiilto,24,24,1
Abra,46/144,Vanhat,23,23,0
Quagsire,9/123,Vanhat,16,16,0
Spidops ex,243/198,Kiilto,15.5,15.5,3
Xerneas,091/086,Kiilto,15.5,,
Azumarill,2/123,Vanhat,13.5,13.5,0
Voltorb,85/112,Vanhat,13,13,0
Lapras,24/123,Tähti,13,13,0
Blastoise EX,21/108,Kiilto,12.5,12.5,1
Heracross,43/123,Vanhat,12,12,1
Life Dew,107/116,Kiilto,9.5,9.5,0
Double Colorless Energy,103/123,Trainer,9.5,9.5,0
Sunflora,31/123,Tähti,9,9,0
Muscle Band,121/146,Kiilto,8.95,8.95,1
Gold Potion,140/149,Kiilto,8,8,0
Jumpluff,6/123,Vanhat,8,8,1
Surfing Pikachu VMAX,009/025,Kiilto,7.36,,
Tapu Koko (Prism Star),51/181,Kiilto,6.5,,
Tyranitar,85/181,Kiilto,6,6,1
Persian,27/123,Tähti,6,6,0
Magcargo,45/106,Kiilto,5,,
Rayquaza,106/145,Tähti,5,5,0
Espurr,095/088,Kiilto,4.47,,
Mewtwo,51/108,Vanhat,4.25,4.25,0
Black Market (Prism Star),134/181,Kiilto,4,4,0
Quilava,49/123,Tähti,4,4,0
Krookodile,71/146,Tähti,3.75,3.75,1
Kartana,101/168,Tähti,3.75,3.75,1
Gyarados,31/113,Tähti,3.75,3.75,1
Mew,011/025,Kiilto,3.32,,
Genesect,10/101,Kiilto,3,3,0
Turtonator GX,18/145,Kiilto,3,3,4
Here Comes Team Rocket!,113/108,Trainer,3,3,5
Sharpedo,22/109,Vanhat,3,3,1
Rayquaza,153/217,Bulk,3.0,,
Pikachu,60/64,Vanhat,2.98,,
Mewtwo EX,XY107,Kiilto,2.76,,
Heat Factory (Prism Star),178/214,Kiilto,2.75,2.75,1
Crobat,66/214,Kiilto,2.75,2.75,1
Flareon,SM186,Erikois,2.62,,
Flareon,SM186,Erikois,2.62,,
Geodude,110/165,Vanhat,2.5,2.5,1
Team Aqua's Seviper,17/95,Vanhat,2.25,,
Alolan Sandslash,20/145,Kiilto,2,2,0
Shiinotic,17/149,Kiilto,2,2,0
Mudsdale,76/145,Kiilto,1.75,1.75,0
Lunala,015/025,Kiilto,1.75,1.75,0
Ampharos,049/198,Kiilto,1.75,1.75,0
Victreebel,3/145,Tähti,1.75,1.75,0
Malamar,76/146,Kiilto,1.7,1.7,1
Yveltal,019/025,Kiilto,1.5,1.5,7
Max Potion,103/122,Kiilto,1.5,1.5,0
Cassius,115/146,Kiilto,1.5,1.5,1
Caitlin,78/101,Kiilto,1.5,1.5,0
Stoutland,110/146,Kiilto,1.5,1.5,0
Stoutland,176/236,Kiilto,1.5,1.5,1
Charizard Spirit Link,75/108,Trainer,1.5,1.5,1
Rainbow Energy,131/146,Trainer,1.5,1.5,0
Counter Energy,100/111,Trainer,1.5,1.5,0
Draw Energy,209/236,Trainer,1.5,1.5,0
Draw Energy,209/236,Trainer,1.5,1.5,0
Phione,57/236,Vanhat,1.5,1.5,1
Qwilfish,50/123,Vanhat,1.5,1.5,0
Starmie,31/108,Vanhat,1.5,1.5,0
Revive,85/108,Vanhat,1.5,1.5,8
Electabuzz,41/108,Vanhat,1.5,1.5,0
Hoopa,141/217,Bulk,1.5,,
Mightyena,87/181,Tähti,1.5,1.5,0
Honchkrow,79/145,Tähti,1.5,1.5,0
Alolan Muk,84/181,Tähti,1.5,1.5,1
Pinsir,9/181,Tähti,1.5,1.5,0
Raticate,88/122,Tähti,1.5,1.5,0
Empoleon,56/236,Tähti,1.5,1.5,0
Zygarde,53/124,Tähti,1.5,1.5,0
Galarian Articuno V,058/198,Kiilto,1.38,,
Delphox,13/124,Kiilto,1.25,1.25,0
Krookodile,85/149,Kiilto,1.25,1.25,0
Pokédex,82/108,Trainer,1.25,1.25,4
Professor's Research (Professor Oak),024/025,Kiilto,1.1,,
Professor Oak's Hint,84/108,Kiilto,1,1,8
Welder,189/214,Kiilto,1,1,3
